('without anomalies', 'Gauss_2.0', 'LOKT', 6.214081816799888, 4.082818042192802)
('with anomalies', 'Gauss_2.0', 'LOGR', 10.00812512992981, 3.6390700749294527)
('without anomalies', 'Gauss_2.0', 'LOGR', 10.00812512992981, 3.6390700749294527)
('with anomalies', 'Gauss_2.0', 'STAM', 4.9526913973449656, 2.6678355989598894)
('without anomalies', 'Gauss_2.0', 'STAM', 4.769340527648902, 2.3315851064102677)
('with anomalies', 'Gauss_2.0', 'SOSU', 8.258984482914654, 5.107754149472138)
('without anomalies', 'Gauss_2.0', 'SOSU', 7.327483624338545, 2.8709281347256805)
('with anomalies', 'Gauss_2.0', 'OSKV', 6.54059636660453, 2.5522909419239257)
('without anomalies', 'Gauss_2.0', 'OSKV', 6.54059636660453, 2.5522909419239257)
('with anomalies', 'Gauss_2.0', 'JONS', 7.393112045334601, 3.7576493400970743)
('without anomalies', 'Gauss_2.0', 'JONS', 7.393112045334601, 3.7576493400970743)
('with anomalies', 'Gauss_2.0', 'TOHR', 6.793196779687129, 3.038271429015611)
('without anomalies', 'Gauss_2.0', 'TOHR', 6.570053995436829, 2.5813641411458272)
('with anomalies', 'Gauss_2.0', 'HELL', 10.74752807331051, 6.083952155803901)
('without anomalies', 'Gauss_2.0', 'HELL', 10.74752807331051, 6.083952155803901)
('with anomalies', 'Gauss_2.0', 'MYNG', 19.626288868198912, 16.40796842987097)
('without anomalies', 'Gauss_2.0', 'MYNG', 19.626288868198912, 16.40796842987097)
('with anomalies', 'Gauss_2.0', 'MIDF', 3.2205170908350387, 2.1378122317513917)
('without anomalies', 'Gauss_2.0', 'MIDF', 3.0782467006088274, 1.8120014714190609)
('with anomalies', 'Gauss_2.0', 'MYVO', 6.5592847042457825, 4.2144845343598245)
('without anomalies', 'Gauss_2.0', 'MYVO', 6.231913066688155, 3.5889388111194758)
('with anomalies', 'Gauss_2.0', 'OSVA', 15.08981298728403, 5.0909472139372465)
('without anomalies', 'Gauss_2.0', 'OSVA', 15.08981298728403, 5.0909472139372465)
('with anomalies', 'Gauss_2.0', 'ASK', 5.268745130701193, 3.0516382774651882)
('without anomalies', 'Gauss_2.0', 'ASK', 5.067460187335426, 2.612372117745473)
('with anomalies', 'Gauss_2.0', 'OLGR', 18.98725540895369, 7.61586682112212)
('without anomalies', 'Gauss_2.0', 'OLGR', 18.98725540895369, 7.61586682112212)
('with anomalies', 'Gauss_2.0', 'NAUG', 3.0851942149245426, 1.2791041616299657)
('without anomalies', 'Gauss_2.0', 'NAUG', 3.0851942149245426, 1.2791041616299657)
('with anomalies', 'Gauss_2.0', 'DREK', 4.4431942414450445, 1.3910166831792017)
('without anomalies', 'Gauss_2.0', 'DREK', 4.4431942414450445, 1.3910166831792017)
('with anomalies', 'Gauss_2.0', 'RODG', 5.353934668001334, 2.591275367742772)
('without anomalies', 'Gauss_2.0', 'RODG', 5.353934668001334, 2.591275367742772)
('with anomalies', 'Gauss_2.0', 'VBOR', 7.329368186577921, 5.4916870344063495)
('without anomalies', 'Gauss_2.0', 'VBOR', 6.36774439965902, 3.2032649075833097)
('with anomalies', 'Gauss_2.0', 'KLUR', 6.160902895086045, 3.414728531532418)
('without anomalies', 'Gauss_2.0', 'KLUR', 6.160902895086045, 3.414728531532418)
('with anomalies', 'Gauss_2.0', 'SVAD', 5.0063938470521645, 3.350702090959328)
('without anomalies', 'Gauss_2.0', 'SVAD', 4.668599463760566, 2.4715050136377443)
('with anomalies', 'Gauss_2.0', 'ATOP', 11.107017407430016, 3.5056465511815667)
('without anomalies', 'Gauss_2.0', 'ATOP', 11.107017407430016, 3.5056465511815667)
('with anomalies', 'Gauss_2.0', 'HOTT', 4.259336216344723, 2.024408283873783)
('without anomalies', 'Gauss_2.0', 'HOTT', 4.259336216344723, 2.024408283873783)
('with anomalies', 'Gauss_2.0', 'RIFR', 4.05469462529231, 2.2121665531793018)
('without anomalies', 'Gauss_2.0', 'RIFR', 4.05469462529231, 2.2121665531793018)
('with anomalies', 'Gauss_2.0', 'TOLI', 3.4458152362385484, 2.3268445753272915)
('without anomalies', 'Gauss_2.0', 'TOLI', 3.257562972067881, 1.8484204252621803)
('with anomalies', 'Gauss_2.0', 'DYSA', 5.674013561687844, 2.403357746935646)
('without anomalies', 'Gauss_2.0', 'DYSA', 5.674013561687844, 2.403357746935646)
('with anomalies', 'Gauss_2.0', 'MOFO', 3.646571137341106, 2.117157862515021)
('without anomalies', 'Gauss_2.0', 'MOFO', 3.3566818311990247, 1.392050169851373)
('with anomalies', 'Gauss_2.0', 'KATT', 5.208640968789262, 2.7748618118830364)
('without anomalies', 'Gauss_2.0', 'KATT', 5.048258586245554, 2.501822538972351)
('with anomalies', 'Gauss_2.0', 'FJAS', 4.380427761703281, 2.8206241601517092)
('without anomalies', 'Gauss_2.0', 'FJAS', 4.155993424780285, 2.4565005783105036)
('with anomalies', 'Gauss_2.0', 'STOR', 2.605759235863621, 2.077495784151723)
('without anomalies', 'Gauss_2.0', 'STOR', 2.605759235863621, 2.077495784151723)
('with anomalies', 'Gauss_2.0', 'VIKS', 6.545085282841219, 0.0)
('without anomalies', 'Gauss_2.0', 'VIKS', 6.545085282841219, 0.0)
('with anomalies', 'Gauss_2.0', 'VADA', 2.9652023057612396, 1.8529956813665538)
('without anomalies', 'Gauss_2.0', 'VADA', 2.9652023057612396, 1.8529956813665538)
('with anomalies', 'Gauss_2.0', 'LIND', 4.1594708064251416, 2.231143191159785)
('without anomalies', 'Gauss_2.0', 'LIND', 4.1594708064251416, 2.231143191159785)
('with anomalies', 'Gauss_2.0', 'FLAT', 6.781306283372339, 4.984126242922814)
('without anomalies', 'Gauss_2.0', 'FLAT', 6.528129313740589, 4.539578170016363)
('with anomalies', 'Gauss_2.0', 'FLUR', 7.866465283948094, 3.452701873493314)
